de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars;imageUrl
Quitte, gekocht, abgetropft (ohne Zugabe von Zucker);Coing, cuit, égoutté (sans adjonction de sucre);Mela cotogna, cotta, sgocciolata (senza aggiunta di zucchero);Quince, cooked, drained (without addition of sugar);8;55;0;0;8;0,4;1,2;3,8;7,9;https://upload.wikimedia.org/wikipedia/commons/1/19/Risifrutti_p%C3%A5_Konsum_2015.jpg
Quitte, roh;Coing, cru;Mela cotogna, cruda;Quince, fresh;6;45;0;0;6,4;0,3;1;3;6,3;https://upload.wikimedia.org/wikipedia/commons/2/21/Quince_123.jpg
Raclettekäse;Fromage à raclette;Formaggio Raclette;Raclette cheese;0;360;28;16,7;0;26,4;11;730;0;https://upload.wikimedia.org/wikipedia/commons/1/12/Raclette_cheese.jpg
Radieschen, roh;Petit radis, cru;Ravanelli, crudi;Radish, red, raw;2;20;0;0;1,6;1;1,2;21;2,1;https://cdn.pixabay.com/photo/2016/06/29/02/21/radishes-1485888_960_720.jpg
Rahm (Durchschnitt);Crème (en moyenne);Panna (in media);Cream (average);3;255;25;15,2;0;2,4;9,9;48;3,4;https://upload.wikimedia.org/wikipedia/commons/9/95/Bowl_of_Cream_of_Mushroom_Soup.JPG
Rahmglace, Frucht;Crème glacée, aux fruits;Gelato alla panna, gusto frutta;Ice cream, dairy, fruit;25;185;8;5;0;3,5;0;61;23,7;http://maxpixel.freegreatpicture.com/static/photo/1x/Ice-Cream-Vanilla-Happiness-Summer-Raspberry-Fruit-1440835.jpg
Rahmkaramellen;Caramel mou à la crème;Caramella alla panna;Candy, toffee;79;355;4;2,2;0;0,4;1,1;120;79,3;https://cdn.pixabay.com/photo/2014/11/10/15/10/toffee-525496_960_720.jpg
Rande, gedämpft (ohne Zugabe von Salz);Betterave rouge, à la vapeur (sans adjonction se sel);Barbabietola, al vapore (senza aggiunta di sale);Beetroot, steamed (without addition of salt);11;60;0;0;3,1;1,9;0,5;58;10,5;https://upload.wikimedia.org/wikipedia/commons/0/00/Barszcz_z_uszkami.jpg
Rande, roh;Betterave rouge, crue;Barbabietola, cruda;Beetroot, raw;8;50;0;0;2,5;1,5;0,4;58;8,4;http://maxpixel.freegreatpicture.com/static/photo/1x/Beetroot-Agriculture-Food-Diet-Raw-Vegetable-687251.jpg
Rapsöl;Huile de colza;Olio di colza;Rapeseed oil;0;810;90;7,2;0;0;0;0;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Rapeseed-Oil-Oilseed-Rape-Field-Oil-Harvest-1029062.jpg
Rapsöl HOLL (high oleic, low linolenic);Huile de colza HOLL (high oleic, low linolenic);Olio di colza HOLL (high oleic, low linolenic);Rapeseed oil HOLL (high oleic, low linolenic);0;810;90;6,3;0;0;;;0;https://upload.wikimedia.org/wikipedia/commons/e/e6/Raps_Fr%C3%BChjahr.jpg
Ratatouille, zubereitet;Ratatouille, préparée;Ratatouille, preparato;Ratatouille, prepared;5;50;2;0,3;2,1;1,5;1,8;180;4,3;https://upload.wikimedia.org/wikipedia/commons/f/f4/20170329_ratatouille-debut-cuisson.jpg
Rauchsalami;Salami fumé;Salame affumicato;Smoked salami;1;515;47;17,9;0;21,4;0,8;1590;0,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Ham-Sausage-Food-Meat-Smoked-Salami-1603454.jpg
Reblochon;Reblochon;Formaggio Reblochon;Reblochon cheese;0;310;25;15,1;0;20,3;0;800;0;https://upload.wikimedia.org/wikipedia/commons/6/6b/Reblochon_AOC.jpg
Reh (Durchschnitt), roh;Chevreuil (moyenne), crue;Capriolo (in media), crudo ;Roe (deer), raw;0;125;4;1,6;0;22,4;0,6;84;0;https://upload.wikimedia.org/wikipedia/commons/d/d5/%D0%9A%D0%BE%D1%81%D1%83%D0%BB%D0%B8_%D0%B2_%D0%B7%D0%B2%D0%B5%D1%80%D0%B8%D0%BD%D1%86%D0%B5_%D0%B7%D0%B0%D0%BC%D0%BA%D0%B0_%D0%A8%D1%91%D0%BD%D0%B1%D0%BE%D1%80%D0%BD%D0%B0_-_Roe_deer_in_the_zoo_castle_Sch%C3%B6nborn_%2810233854913%29.jpg
Reh, Ragout, roh;Chevreuil, ragoût (civet), cru;Capriolo, spezzatino, crudo;Roe (deer), ragout, raw;0;105;2;0,5;0;22;0,8;45;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Meat-Cooking-Raw-Beef-Food-Stew-Stew-Meat-1798858.jpg
Reh, Schnitzel, roh;Chevreuil, escalope, cru;Scaloppina di capriolo, cruda;Roe (deer), schnitzel, raw;0;105;2;0,7;0;22,5;0,8;44;0;https://upload.wikimedia.org/wikipedia/commons/b/ba/Sliced_Matsusaka_wagyu_beef.jpg
Reibkäse;Fromage râpé;Formaggio grattugiato;Cheese grated;0;400;29;17,7;0;32,3;40;580;0;http://www.publicdomainpictures.net/pictures/140000/velka/grated-cheese.jpg
Reis parboiled, gekocht in Salzwasser (unjodiert);Riz parboiled, cuit à l'eau salée (sel non iodé);Riso tipo parboiled, bollito in acqua salata (sale non iodato);Rice parboiled, cooked in salted water (uniodised);27;120;0;0,1;0,5;2,4;1;540;0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Can-in-can_steaming.svg/892px-Can-in-can_steaming.svg.png
Reis parboiled, trocken;Riz parboiled, sec;Riso tipo parboiled, secco;Rice parboiled, raw;78;350;1;0,2;1,4;6,9;2;3;0;https://upload.wikimedia.org/wikipedia/commons/7/72/Rice_Animation.gif
Reis poliert, gekocht in Salzwasser (unjodiert);Riz blanc, cuit à l'eau salée (sel non iodé);Riso raffinato, bollito in acqua salata (sale non iodato);Rice polished, cooked in salted water (uniodised);26;115;0;0,1;0,5;2,2;0,9;530;0;https://upload.wikimedia.org/wikipedia/commons/1/11/Melamine_dinnerware.JPG
Reis poliert, trocken;Riz blanc, sec;Riso raffinato, secco;Rice polished, raw;78;350;1;0,2;1,4;6,6;2;5;0;https://upload.wikimedia.org/wikipedia/commons/b/b7/Rice_p1160004.jpg
Reis unpoliert, gekocht in Salzwasser (unjodiert);Riz complet, cuit à l'eau salée (sel non iodé);Riso sbramato, bollito in acqua salata (sale non iodato);Rice unpolished, cooked in salted water (uniodised);28;135;1;0,2;1,1;2,8;1,1;610;0,5;
Reis unpoliert, trocken;Riz complet, sec;Riso sbramato, secco;Rice unpolished (wholemeal), raw;74;360;3;0,5;3;7,5;2,2;6;1,2;https://upload.wikimedia.org/wikipedia/commons/c/c6/Lao_sticky_rice.jpg
Rettich, roh;Radis, cru;Rafano, crudo;Radish, raw;3;20;0;0;1,2;0,6;1,2;12;2,6;http://maxpixel.freegreatpicture.com/static/photo/1x/Vegetable-Raw-Food-Healthy-Radishes-Vegetarian-1485888.jpg
Rhabarber, roh;Rhubarbe, cru;Rabarbaro, crudo;Rhubarb, raw;1;15;0;0;2,5;0,6;2,3;3;1;https://c1.staticflickr.com/6/5268/5873413395_c18665a8e3_b.jpg
Rhabarberkuchen, gebacken (mit Blätterteig);Tarte à la rhubarbe, cuite au four (pâte feuilletée);Torta di rabarbaro, cotta nel forno (pasta soglia);Rhubarb pie, baked (with puff pastry);9;115;7;3,8;2;2,5;4;94;2,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Rhubarb-Pastry-Cranberry-Food-Dessert-Pie-881175.jpg
Rhabarberkuchen, gebacken (mit Kuchenteig);Tarte à la rhubarbe, cuite au four (pâte à gateau);Torta di rabarbaro, cotta nel forno (pasta per torta);Rhubarb pie, baked (with cake dough);12;105;5;2,6;2,1;2,9;4,1;100;2,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Streusel-Cake-Cake-Bake-Homemade-Plum-Cake-1587097.jpg
Riesenkürbis, gedämpft (ohne Zugabe von Salz);Potiron, à la vapeur (sans adjonction de sel);Zucca gigante, al vapore (senza aggiunta di sale);Winter squash, steamed (without addition of salt);5;25;0;0;1;0,6;0,2;0,8;3,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Yellow-Thong-Potatoes-Food-Peru-Potato-Orange-43316.jpg
Riesenkürbis, roh;Courge, crue;Zucca gialla, cruda;Winter squash, raw;5;25;0;0;1;0,6;0,2;1;3,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Pumpkin-Seeds-Orange-Pumpkin-Raw-White-Bio-Seeds-1738174.jpg
Rind, Brust, gekocht (ohne Zugabe von Fett und Salz);Boeuf, poitrine, cuit (sans adjonction de graisse ni de sel);Manzo, petto, cotto (senza aggiunta di grassi e sale);Beef, breast, cooked (without addition of fat and salt);0;315;21;9;0;31,5;0,5;36;0;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Rind, Brust, roh;Boeuf, poitrine, cru;Manzo, petto, crudo;Beef, breast, raw;0;190;13;5,4;0;18,9;0,3;48;0;https://upload.wikimedia.org/wikipedia/commons/a/a3/Thanksgiving_Turkey.jpg
Rind, Eckstück, roh;Boeuf, coin, tranche, cru;Manzo, fettina, cruda;Beef, round, schnitzel, raw;0;115;2;1,1;0;22,6;3;50;0;https://cdn.pixabay.com/photo/2016/10/17/15/08/minced-meat-1747910_960_720.jpg
Rind, Entrecôte, roh;Boeuf, entrecôte, cru;Manzo, costata, cruda;Beef, entrecôte, steak, raw;0;140;5;2,1;0;22,3;0,1;55;0;https://upload.wikimedia.org/wikipedia/commons/5/56/Perfect_Entrecote_%282454655127%29.jpg
Rind, Entrecôte, roh (Schweiz);Boeuf, entrecôte, cru (Suisse);Manzo, entrecôte (Svizzera), crudo ;Beef, entrecôte, steak, raw (Switzerland);0;135;5;2,2;0;23,2;3;42;0;https://upload.wikimedia.org/wikipedia/commons/b/ba/Sliced_Matsusaka_wagyu_beef.jpg
Rind, Entrecôte, roh (USA);Boeuf, entrecôte, cru (USA);Manzo, entrecôte (USA), crudo;Beef, entrecôte, steak, raw (USA);0;210;14;5,6;0;21,7;3;45;0;https://upload.wikimedia.org/wikipedia/commons/2/28/Strip-steak-MCB-MaggieO.jpg
Rind, Filet, roh;Boeuf, filet, cru;Manzo, filetto, crudo ;Beef, filet, raw;0;110;2;0,9;0;21,9;0,1;42;0;https://upload.wikimedia.org/wikipedia/commons/2/24/StripSteak.jpg
Rind, Gehacktes, roh;Boeuf, haché, cru;Manzo, carne macinata, cruda;Beef, minced, raw;0;155;8;3,2;0;21,6;3;61;0;http://www.publicdomainpictures.net/pictures/40000/nahled/raw-mince-meat.jpg
Rind, Geschnetzeltes, roh;Boeuf, émincé, cru;Manzo, sminuzzato, crudo;Beef, chopped, raw;0;105;2;0,6;0;22,2;3;44;0;https://cdn.pixabay.com/photo/2012/04/13/11/31/meat-31983_960_720.png
Rind, Hals, roh;Boeuf, cou, ragoût (goulache), cru;Manzo, spezzatino di collo, crudo;Beef, ragout (goulash), raw;0;150;8;4;0;19,3;0,2;45;0;https://static.pexels.com/photos/217203/pexels-photo-217203.jpeg
Rind, Hohrücken, roh (Schweiz);Boeuf, entrecôte parisienne, cru (Suisse);Manzo, bistecca (Svizzera), cruda ;Beef, prime rib, raw (Switzerland);0;165;9;4;0;21,1;3;45;0;https://upload.wikimedia.org/wikipedia/commons/2/2a/MCB-prime-rib2.jpg
Rind, Hohrücken, roh (USA);Boeuf, entrecôte parisienne, cru (USA);Manzo, bistecca (USA), cruda ;Beef, prime rib, raw (USA);0;220;16;6,8;0;19,3;3;38;0;https://upload.wikimedia.org/wikipedia/commons/2/2a/MCB-prime-rib2.jpg
Rind, Leber, roh;Boeuf, foie, cru;Manzo, fegato, crudo;Beef, liver, raw;5;140;4;1,4;0;20,5;13;120;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Eat-Steak-Meat-Fry-Food-Bovine-Liver-Raw-Beef-6071.jpg
Rind, Runder Mocken, roh;Boeuf, pièce ronde, tranche, cru;Manzo, girello, cruda;Beef, eye of round, raw;0;110;2;0,8;0;22,4;3;39;0;https://upload.wikimedia.org/wikipedia/commons/9/9e/Beef_round_top_round_steak_in_pan%2C_raw.jpg
"Rind, Schulter, Braten ""medium"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";Boeuf, épaule, rôti au four, mi-saignant (sans adjonction de graisse ni de sel);Manzo, spalla, arrosta al forno, cottura media (senza aggiunta di grassi o sale);Beef, shoulder, medium roast in oven (without addition of fat and salt);0;165;5;1,7;0;30;0,1;59;0;https://upload.wikimedia.org/wikipedia/commons/0/02/Sunday_roast_-_roast_beef_1.jpg
"Rind, Schulter, Braten ""rare"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";Boeuf, épaule, rôti au four, saignant (sans adjonction de graisse ni de sel);Manzo, spalla, arrosta al forno, cottura al sangue (senza aggiunta di grassi o sale);Beef, shoulder, rare roast in oven (without addition of fat and salt);0;150;4;1,5;0;27,7;0,1;54;0;https://upload.wikimedia.org/wikipedia/commons/0/02/Sunday_roast_-_roast_beef_1.jpg
"Rind, Schulter, Braten ""well done"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";Boeuf, épaule, rôti au four, à point (sans adjonction de graisse ni de sel);Manzo, spalla, arrosta al forno, ben cotta (senza aggiunta di grassi o sale);Beef, shoulder, well done roast in oven (without addition of fat and salt);0;190;6;1,9;0;34,8;0,2;68;0;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Rind, Schulter, Braten, roh;Boeuf, épaule, rôti, crue;Manzo, spalla, arrosto, crudo;Beef, shoulder (roast), raw;0;120;3;1,2;0;21,6;0,1;50;0;https://upload.wikimedia.org/wikipedia/commons/2/28/Strip-steak-MCB-MaggieO.jpg
Rind, Siedfleisch, durchzogen,  roh;Boeuf, bouilli, entremêlé, cru;Manzo, bollito misto, crudo;Beef, boiling meat, with fat, raw;0;230;17;7;0;19,5;3;60;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Bone-In-Beef-Cooking-Catering-Back-Bone-in-Ribs-1344557.jpg
Rind, Siedfleisch, mager, roh;Boeuf, bouilli, maigre, cru;Manzo, bollito magro, crudo;Beef, boiling meat, lean, raw;0;135;6;2,5;0;20,7;3;57;0;https://upload.wikimedia.org/wikipedia/commons/f/f0/Horse_meat_hamburger_at_restaurant_Hot%27_Horse%2C_Ljubljana%2C_Slovenia.jpg
Rind, Voressen, roh;Boeuf, ragoût, cru;Manzo, spezzatino, crudo;Beef, ragout, raw;0;100;1;0,6;0;21,2;3;49;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Meat-Cooking-Raw-Beef-Food-Stew-Stew-Meat-1798858.jpg
Rind, Zunge, roh;Boeuf, langue, crue;Manzo, lingua, cruda;Beef, tongue, raw;4;200;13;4,7;0;16;2,3;80;0;https://upload.wikimedia.org/wikipedia/commons/a/a1/Beef_tongue_preparation.jpg
Rindfleisch (Durchschnitt exkl. Innereien, Rippensteak), roh;Viande de bœuf (moyenne sans abats ni côte), crue;Carne di manzo (in media, senza interiora e costine), cruda;Beef (average excluding offal, chop), raw;0;135;5;2,4;0;21,4;1,6;45;0;https://upload.wikimedia.org/wikipedia/commons/2/28/Strip-steak-MCB-MaggieO.jpg
Rindsragout mit Sauce, zubereitet;Ragoût de boeuf avec sauce, préparé;Ragù di manzo con salsa, preparato;Beef ragout with sauce, prepared;3;95;3;0,5;0,6;12,6;2,2;300;1,6;https://upload.wikimedia.org/wikipedia/commons/3/32/Classic_Vienna-style_beef_goulash.jpg
Rippli (Nierstück), roh;Carré (filet), cru;Spalletta (lonza) crudo;Beef, rib, raw;1;155;7;2,6;0;21,7;3,2;2470;0;https://c1.staticflickr.com/5/4144/5095925101_71bb6ebe67_b.jpg
Risotto ohne Käse, gekocht;Risotto sans fromage, cuit;Risotto senza formaggio, cotto;Risotto without cheese, cooked;25;125;1;0,2;0,6;2,2;0,9;250;0,7;https://upload.wikimedia.org/wikipedia/commons/5/53/Risotto.jpg
Ristretto crème, ungezuckert;Ristretto crème, non sucré;Ristretto crema, non zuccherato;Ristretto with coffee cream, no sugar added;1;50;4;2,6;0,1;0,8;3,2;23;1,1;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Black_Coffee_for_Breakfast_in_White_Porcelain_Cup.jpg/1020px-Black_Coffee_for_Breakfast_in_White_Porcelain_Cup.jpg
Riz Casimir mit Kalbfleisch, zubereitet;Riz casimir de veau, préparé;Riz Casimir con vitello, preparato;Riz Casimir with veal, prepared;16;125;3;0,8;1,1;6,9;1,5;300;3,3;https://upload.wikimedia.org/wikipedia/commons/e/e2/Absinthe-glass.jpg
Riz Casimir mit Poulet, zubereitet;Riz Casimir au poulet, préparé;Riz Casimir con pollo, preparato;Riz Casimir with chicken, prepared;16;130;3;0,8;1,1;7,5;1,2;300;3,3;https://upload.wikimedia.org/wikipedia/commons/e/e2/Absinthe-glass.jpg
Roggenbrot mit Sauerteig;Pain de seigle au levain;Pane di segale (con lievito);Rye bread with sour dough;42;210;1;0,1;6,3;5,2;2,7;530;2,1;https://upload.wikimedia.org/wikipedia/commons/9/91/Sourdough_miche_%26_boule.jpg
Roggenmehl, halbweiss, Typ 815;Farine de seigle, type 815;Farina di segale tipo 815;Rye flour Type 815;72;340;1;0,1;5,2;7,1;2,1;1;7,1;https://upload.wikimedia.org/wikipedia/commons/6/65/Montealegre_paisaje_de_campo_segado_ni.jpg
Roggenmehl, Ruch, Typ 1050;Farine de seigle, type 1050;Farina di segale tipo 1050;Rye flour Type 1050;69;335;2;0,2;7,7;7,5;2,7;1;6,8;https://upload.wikimedia.org/wikipedia/commons/0/09/Flours.jpg
Roggenmehl, Vollkorn, Schrot, Typ 1800;Farine de seigle, complète egrugée, type 1800;Farina di segale, integrale, cruschello tipo 1800;Rye flour (wholemeal) Type 1800;63;325;2;0,2;11,2;8,5;4,6;2;1;https://upload.wikimedia.org/wikipedia/commons/5/58/Breading.jpg
Roggenschrotbrot;Pain au gruau de seigle;Pane di tritello di segale;Rye bread with rye grist;44;230;1;0,1;7,5;6,2;3,3;570;0,7;http://maxpixel.freegreatpicture.com/static/photo/1x/Home-Made-Bread-Kitchen-Rye-Flour-Spelt-759921.jpg
Rohessspeck;Lard cru;Pancetta piana;Bacon, raw;1;400;34;13,1;0;22,1;0;1520;0,6;https://upload.wikimedia.org/wikipedia/commons/8/8f/Raw_bacon.jpg
Rohpökelwaren (Durchschnitt);Produits de salaison crus (moyenne);Carne salmistrata cruda (in media);Raw cured meat raw (average);0;305;21;5,6;0;28,1;0;1610;0,3;https://upload.wikimedia.org/wikipedia/commons/f/f3/Saltimbocca_raw_%282%29.jpg
Rohschinken;Jambon cru;Prosciutto, crudo;Ham, raw;0;230;12;4,3;0;31;0;1760;0,3;https://upload.wikimedia.org/wikipedia/commons/1/16/Polish_ham._Smoked%2C_raw.jpg
Rohwürste mit abgebrochener Reifung (Durchschnitt);Saucisses crues avec maturation interrompue (moyenne);Salsiccia cruda con maturazione troncata (in media);Raw sausages with interrupted maturation (average);1;370;34;12,7;0,1;15,6;0,9;940;0,6;https://upload.wikimedia.org/wikipedia/commons/f/f7/Greekfire-madridskylitzes1.jpg
Rohwürste/Dauerwürste (Durchschnitt);Saucisses crues (moyenne);Salsiccia cruda (in media);Raw sausages (average);0;455;41;15,6;0;22;0,4;1490;0,3;https://upload.wikimedia.org/wikipedia/commons/e/ee/Raw_Pork_Meat_in_Bloody_Butchery_of_Corpses.jpg
Rollgerste;Orge perlé;Orzo perlato, secco;Pearl barley;71;345;1;0,3;4,6;9,6;1;5;2,2;https://c1.staticflickr.com/5/4112/4958423675_8d028b4400_b.jpg
Rollmops;Rollmops ;Rollmops ;Rollmops (pickled herring);20;270;16;3,7;0;12;32;1180;18;https://upload.wikimedia.org/wikipedia/commons/3/3a/Pickled_herring_%28Poznan%29.JPG
Rollschinken;Rollschinkli;Prosciutto arrotolato;Rollschinken, cured and smoked pork meat;1;185;11;4,1;0;20,3;1,1;1170;1,2;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Roquefort;Roquefort;Formaggio Roquefort;Roquefort cheese;0;365;32;19;0;18,7;40;1600;0;https://upload.wikimedia.org/wikipedia/commons/9/92/Roquefort_cheese.jpg
Rosenkohl, gedämpft (ohne Zugabe von Salz);Chou de Bruxelles, à la vapeur (sans adjonction de sel);Cavolini di Bruxelles, al vapore (senza aggiunta di sale);Brussel sprouts, steamed (without addition of salt);3;45;1;0,1;4,1;3,8;0,6;7,4;2,8;https://media.defense.gov/2015/Aug/21/2001279428/-1/-1/0/150806-F-BD468-048.JPG
Rosenkohl, roh;Chou de Bruxelles, cru;Cavolino di Bruxelles, crudo;Brussels sprouts, raw;4;45;1;0,1;4,3;4;0,7;9;2,9;https://c1.staticflickr.com/8/7154/6753144441_8ee060a14c_b.jpg
Rosine, getrocknet;Raisin, sec;Uvetta, secca ;Raisins, dried (grape)/ sultanas;68;300;1;0,2;5,2;2,5;2;21;67,1;https://cdn.pixabay.com/photo/2013/03/01/19/24/dried-88349_960_720.jpg
Rosmarin, roh;Romarin, cru;Rosmarino, fresco;Rosemary, fresh;8;65;3;0,5;2,9;0,8;1;8;7,6;http://maxpixel.freegreatpicture.com/static/photo/1x/Rosemary-Ingredient-Herb-Herbal-Medicine-Fresh-1583258.jpg
Rösti, Fertigprodukt;Rösti (pommes de terre prêtes à rôtir, produit fini);Rösti (patate pronte da arrostire, prodotto pronto al consumo);Rosti (shredded potatoes, ready to fry);19;120;4;1,6;1,3;2;28;430;0,9;https://upload.wikimedia.org/wikipedia/en/3/3d/Heinz_horseradish_sauce.jpg
Rotkohl, gedünstet (ohne Zugabe von Fett und Salz);Chou rouge, à l'étuvée (sans adjonction de graisse ni de sel);Cavolo rosso, stufato (senza aggiunta di sale);Red cabbage, stewed (without addition of fat and salt);4;30;0;0;2,8;1,3;2,6;8,1;3,7;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Rotkohl, roh;Chou rouge, cru;Cavolo rosso, crudo;Red cabbage, raw;4;30;0;0;3;1,4;2,9;10;4;http://maxpixel.freegreatpicture.com/static/photo/1x/Onion-Kohl-Meal-Eat-Red-Cabbage-Ruebkohl-Raw-2059958.jpg
Ruchbrot;Pain bis;Pane bigio;Brown bread;44;235;1;0,2;4,1;9,5;1,4;630;0,5;https://cdn.pixabay.com/photo/2015/03/13/10/08/bread-671486_960_720.jpg
Rucola, roh;Roquette, crue;Rucola, cruda;Rocket, raw;2;30;1;0,1;1,6;2,6;0;27;2,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Carpaccio-Raw-Raw-Meat-Parmesan-Rocket-Beef-777849.jpg
Rüeblitorte;Gateau aux carottes;Torta di carote;Cake with carrots;25;295;16;1,7;4,5;9,8;9,4;62;19,2;http://maxpixel.freegreatpicture.com/static/photo/1x/Cake-Cream-Carrot-Cake-Dessert-Cheese-Sweet-226772.jpg
Rührei mit Champignons, zubereitet;Oeufs brouillés aux champignons, préparés;Uovo strapazzato al prataiolo, preparato;Scrambled eggs with mushrooms, prepared;2;130;9;3,1;0,4;9,4;27;260;1,4;https://upload.wikimedia.org/wikipedia/commons/1/10/Cheddar_soup_prepared_with_white_cheddar.jpg
Rührei mit Käse, zubereitet;Oeufs brouillés au fromage, préparés;Uovo strapazzato al formaggio, preparato;Scrambled eggs with cheese, prepared;1;160;12;4,2;0;11,6;30;330;1,3;https://c1.staticflickr.com/8/7395/10137120624_c24333724d_b.jpg
Rührei mit Kräutern, zubereitet;Oeufs brouillés aux herbes, préparés;Uovo strapazato alle erbe, preparato;Scrambled egg with herbs, prepared;2;145;10;3,4;0,4;10,3;27;300;1,6;https://upload.wikimedia.org/wikipedia/commons/7/75/Grits_and_eggs.jpg
Rührei mit Schinken, zubereitet;Oeufs brouillés au jambon, préparés;Uovo strapazzato al prosciutto, preparato;Scrambled eggs with ham, prepared;1;150;10;3,3;0;12,7;26;410;1,3;https://c1.staticflickr.com/8/7395/10137120624_c24333724d_b.jpg
Rührei, zubereitet;Oeufs brouillés, préparés;Uovo strapazzato, preparato;Scrambled eggs, prepared;1;150;11;3,7;0;10,8;29;320;1,3;https://c1.staticflickr.com/4/3851/33558556771_97f79fff29_b.jpg
"Rührteigcake ""Gleichschwer""";Gateau au beurre;Torta al burro;Butter cake;45;435;25;13,7;0,9;6,7;9,4;65;26,7;https://upload.wikimedia.org/wikipedia/commons/e/ed/Gooey_Pumpkin_Butter_Cake.jpg
Russischer Salat, zubereitet;Salade russe, préparée;Insalata russa, preparata;Russian salad, prepared;10;200;16;2,3;2,2;2,5;3,3;140;1,8;https://upload.wikimedia.org/wikipedia/commons/5/50/Serbian_Christmas_meal.jpg
Sablé, Butter;Sablés au beurre;Frollini;Short bread cookie (Sablé);53;475;26;15,5;1,6;5,9;0,3;44;17,8;http://www.publicdomainpictures.net/pictures/170000/velka/biscuits-sables.jpg
